"DATE","GDP","GDPGR","TSpread"
"2010-10-01",14939.001,2.51254004819543,2.72
"2011-01-01",14881.301,-1.54794064817665,3.33
"2011-04-01",14989.555,2.899266735038,3.16
"2011-07-01",15021.149,0.842206478645124,2.41
"2011-10-01",15190.255,4.47798496562086,2.04
"2012-01-01",15291.035,2.64504204985698,1.97
"2012-04-01",15362.415,1.86289318868091,1.73
"2012-07-01",15380.802,0.478466575371783,1.54
"2012-10-01",15384.254,0.0897641795802429,1.62
"2013-01-01",15491.878,2.7885471114466,1.86
"2013-04-01",15521.559,0.765629660764233,1.95
"2013-07-01",15641.336,3.07487708906677,2.68
"2013-10-01",15793.928,3.88336356320949,2.69
"2014-01-01",15757.57,-0.921871059004786,2.71
"2014-04-01",15935.825,4.49953385277269,2.59
"2014-07-01",16139.513,5.08030781931978,2.47
"2014-10-01",16220.222,1.99529859818881,2.26
"2015-01-01",16349.97,3.18693083167148,1.94
"2015-04-01",16460.889,2.70445641271735,2.15
"2015-07-01",16527.587,1.61748826190831,2.18
"2015-10-01",16547.619,0.48452009518769,2.07
"2016-01-01",16571.573,0.578613250634419,1.63
"2016-04-01",16663.516,2.2131605437643,1.49
"2016-07-01",16778.148,2.74226662827672,1.26
"2016-10-01",16851.42,1.74304031368706,1.7
"2017-01-01",16903.24,1.22815731422676,1.85
"2017-04-01",17031.085,3.01395368519763,1.37
"2017-07-01",17163.894,3.10711506015906,1.2
"2017-10-01",17271.702,2.50457932481538,1.16
